,prediction,ground truth,flag
0,dog,dog,0
1,cat,cat,0
2,dog,dog,0
3,cat,cat,0
4,cat,cat,0
5,cat,cat,0
6,cat,cat,0
7,puppy,dog,1
8,cat,cat,0
9,cat,cat,0
10,cat,cat,0
11,cat,cat,0
12,cat,cat,0
13,dog,dog,0
14,cat,cat,0
15,dog,dog,0
16,cat,cat,0
17,dog,dog,0
18,cat,cat,0
19,cat,cat,0
20,cat,cat,0
21,cat,cat,0
22,cat,cat,0
23,dog,dog,0
24,dog,dog,0
25,dog,dog,0
26,dog,dog,0
27,cat,cat,0
28,dog,dog,0
29,cat,cat,0
30,cat,cat,0
31,cat,cat,0
32,dog,dog,0
33,dog,dog,0
34,cat,cat,0
35,cat,cat,0
36,dog,dog,0
37,dog,dog,0
38,cat,cat,0
39,dog,dog,0
40,cat,cat,0
41,dog,dog,0
42,dog,dog,0
43,dog,dog,0
44,puppy,dog,1
45,cat,cat,0
46,cat,cat,0
47,cat,cat,0
48,dog,dog,0
49,cat,cat,0
50,dog,dog,0
51,cat,cat,0
52,dog,dog,0
53,dog,dog,0
54,cat,cat,0
55,dog,dog,0
56,cat,cat,0
57,cat,cat,0
58,dog,dog,0
59,dog,dog,0
60,cat,cat,0
61,dog,dog,0
62,dog,dog,0
63,cat,cat,0
64,dog,dog,0
65,cat,cat,0
66,cat,cat,0
67,cat,cat,0
68,dog,dog,0
69,cat,cat,0
70,cat,cat,0
71,cat,cat,0
72,cat,cat,0
73,cat,cat,0
74,cat,cat,0
75,cat,cat,0
76,dog,dog,0
77,dog,dog,0
78,dog,dog,0
79,dog,dog,0
80,cat,cat,0
81,cat,cat,0
82,cat,cat,0
83,cat,cat,0
84,dog,dog,0
85,dog,dog,0
86,cat,cat,0
87,dog,dog,0
88,cat,cat,0
89,cat,cat,0
90,puppy,dog,1
91,cat,cat,0
92,dog,dog,0
93,dog,dog,0
94,dog,dog,0
95,dog,dog,0
96,cat,cat,0
97,dog,dog,0
98,dog,dog,0
99,cat,cat,0
