,In,Out,Savings
0,5,1,3
1,5,1,4
2,5,2,3
3,5,1,4
4,6,1,5
5,1,1,4
6,5,1,4
7,5,1,5
8,5,1,4
9,5,2,3
10,5,1,4
11,5,1,5
12,5,1,4
13,5,1,4
14,5,1,4
15,5,1,4
16,5,1,4
17,5,1,4
18,5,1,4
19,5,1,4
20,5,1,4
21,5,1,4
22,5,1,4
23,5,1,4
24,5,1,4
25,5,1,4
26,5,1,4
27,5,1,4
28,5,1,4
29,5,1,4
30,5,1,4
31,5,1,4
32,5,1,4
33,5,1,4
34,5,1,4
35,5,1,4
36,5,1,4
37,5,1,4
38,5,1,4
39,5,1,4
40,5,1,4
41,5,1,4
42,5,1,4
43,5,1,4
44,5,1,4
45,5,1,4
46,5,1,4
47,5,1,4
48,5,1,4
49,5,1,4
50,5,1,4
51,5,1,4
52,5,1,4
53,5,1,4
54,5,1,4
55,5,1,4
56,5,1,4
57,5,1,4
58,5,1,4
59,5,1,4
60,5,1,4
61,5,1,4
62,5,1,4
63,5,1,4
64,5,1,4
65,5,1,4
66,5,1,4
67,5,1,4
68,5,1,4
69,5,1,4
70,5,1,4
71,5,1,4
72,5,1,4
73,5,1,
